epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,7250.26,0.95793,1.18156,1.09304,0.42587,0.63019,0.51083,0.36508,1.12833,1.11937,1.26536,0.0003961,0.0003961,0.0003961
63,7467.86,0.98082,1.19998,1.09909,0.44003,0.55241,0.5119,0.36844,1.09127,1.06466,1.2292,0.0003862,0.0003862,0.0003862
64,7683.27,0.93906,1.18694,1.08581,0.40867,0.60842,0.50885,0.36142,1.11055,1.08467,1.25353,0.0003763,0.0003763,0.0003763
65,7891.35,0.9648,1.15864,1.0958,0.43745,0.63929,0.52494,0.38251,1.10321,1.07236,1.26943,0.0003664,0.0003664,0.0003664
66,8087.9,0.9469,1.17107,1.08568,0.41915,0.6446,0.51694,0.37536,1.07501,1.08074,1.23902,0.0003565,0.0003565,0.0003565
67,8281.66,0.94809,1.1729,1.07657,0.459,0.58189,0.53414,0.38368,1.1466,1.07923,1.30065,0.0003466,0.0003466,0.0003466
68,8473.33,0.94843,1.13397,1.08578,0.4167,0.66971,0.53102,0.38415,1.0903,1.08648,1.25427,0.0003367,0.0003367,0.0003367
69,8672.3,0.92962,1.13495,1.08128,0.40786,0.67651,0.52356,0.37617,1.10343,1.0683,1.24838,0.0003268,0.0003268,0.0003268
70,8876.28,0.93079,1.13716,1.08789,0.46901,0.56145,0.54987,0.4009,1.07778,1.02691,1.24813,0.0003169,0.0003169,0.0003169
71,9063.84,0.9136,1.12593,1.06325,0.45445,0.59457,0.52962,0.38616,1.10786,1.06515,1.25117,0.000307,0.000307,0.000307
72,9295.21,0.9413,1.10524,1.07188,0.44219,0.60319,0.53614,0.39284,1.07181,1.0425,1.24082,0.0002971,0.0002971,0.0002971
73,9507.9,0.93852,1.10997,1.07755,0.48457,0.6121,0.54487,0.39728,1.06515,1.01428,1.2297,0.0002872,0.0002872,0.0002872
74,9722.35,0.9284,1.11835,1.06368,0.43735,0.63608,0.55074,0.4024,1.08003,1.02687,1.24264,0.0002773,0.0002773,0.0002773
75,9895.58,0.92455,1.103,1.07592,0.4488,0.60701,0.52889,0.38646,1.07553,1.04559,1.2353,0.0002674,0.0002674,0.0002674
76,10114.7,0.92852,1.11374,1.08713,0.45097,0.60747,0.55233,0.40317,1.08065,1.0143,1.24443,0.0002575,0.0002575,0.0002575
77,10327.2,0.90885,1.10764,1.07009,0.45027,0.69454,0.54451,0.39472,1.09268,1.0311,1.25279,0.0002476,0.0002476,0.0002476
78,10539.7,0.92209,1.10132,1.07804,0.4701,0.61208,0.54218,0.39237,1.10154,1.05629,1.26745,0.0002377,0.0002377,0.0002377
79,10769.6,0.90377,1.11083,1.08526,0.46576,0.62265,0.53556,0.39054,1.10246,1.06149,1.24295,0.0002278,0.0002278,0.0002278
80,10892.9,0.92152,1.09139,1.07982,0.47669,0.62104,0.5576,0.406,1.09724,1.0029,1.25981,0.0002179,0.0002179,0.0002179
81,11018.4,0.90733,1.09157,1.07473,0.45544,0.62502,0.53591,0.38912,1.09119,1.03687,1.23389,0.000208,0.000208,0.000208
82,11156.6,0.91022,1.05959,1.05264,0.4788,0.60768,0.55772,0.40624,1.08154,1.00465,1.24264,0.0001981,0.0001981,0.0001981
83,11312.1,0.89766,1.06387,1.06992,0.44331,0.67651,0.55206,0.40532,1.06802,1.01419,1.23054,0.0001882,0.0001882,0.0001882
84,11443.5,0.88699,1.05429,1.06732,0.50727,0.58239,0.54886,0.39899,1.07756,1.00303,1.24236,0.0001783,0.0001783,0.0001783
85,11576.3,0.89588,1.03568,1.05485,0.44009,0.66117,0.55041,0.40459,1.05676,0.9855,1.23257,0.0001684,0.0001684,0.0001684
86,11725.7,0.89304,1.03556,1.07899,0.4916,0.60193,0.56453,0.41429,1.04617,0.98753,1.22639,0.0001585,0.0001585,0.0001585
87,11867,0.88224,1.0201,1.06033,0.47381,0.63246,0.56368,0.4135,1.05917,1.00009,1.23466,0.0001486,0.0001486,0.0001486
88,12009.3,0.88406,1.04042,1.05499,0.46983,0.64226,0.55674,0.41049,1.05918,0.97872,1.23841,0.0001387,0.0001387,0.0001387
89,12152.2,0.87931,1.02611,1.05476,0.4709,0.64085,0.55244,0.40457,1.06379,0.97674,1.24156,0.0001288,0.0001288,0.0001288
90,12301.4,0.89243,1.01479,1.06374,0.46979,0.65055,0.5565,0.40875,1.04906,0.98,1.23352,0.0001189,0.0001189,0.0001189
91,12445.2,0.84184,0.95517,1.07389,0.46634,0.62595,0.55711,0.40557,1.06824,1.02058,1.22321,0.000109,0.000109,0.000109
92,12580.8,0.83954,0.93267,1.0644,0.45182,0.62855,0.55434,0.4081,1.07307,1.02903,1.23508,9.91e-05,9.91e-05,9.91e-05
93,12733.5,0.82604,0.93638,1.05959,0.47774,0.59686,0.56173,0.41587,1.06141,1.01376,1.2395,8.92e-05,8.92e-05,8.92e-05
94,12896.4,0.81755,0.89495,1.04912,0.46833,0.65191,0.55602,0.41311,1.04209,1.01396,1.21995,7.93e-05,7.93e-05,7.93e-05
95,13038.1,0.81065,0.89446,1.0496,0.46565,0.64143,0.56217,0.41666,1.04852,1.00493,1.22135,6.94e-05,6.94e-05,6.94e-05
96,13179.3,0.80741,0.90257,1.05363,0.48156,0.63311,0.56653,0.4209,1.03831,0.99336,1.21824,5.95e-05,5.95e-05,5.95e-05
97,13325,0.82711,0.89867,1.07355,0.46863,0.64086,0.56217,0.41536,1.03738,0.99634,1.21489,4.96e-05,4.96e-05,4.96e-05
98,13468.7,0.79566,0.91318,1.05668,0.50448,0.59426,0.56301,0.41751,1.02902,0.99083,1.20991,3.97e-05,3.97e-05,3.97e-05
99,13611.8,0.79423,0.86948,1.04664,0.50038,0.61249,0.5669,0.41972,1.02998,0.98485,1.20908,2.98e-05,2.98e-05,2.98e-05
100,13751.3,0.7958,0.8815,1.05797,0.49077,0.61686,0.5666,0.4196,1.02679,0.98238,1.2069,1.99e-05,1.99e-05,1.99e-05
